Rank,Name,Count,Gender,Year
1,OLIVIA,493,Female,2021
2,AMELIA,489,Female,2021
3,CHARLOTTE,486,Female,2021
4,ISLA,439,Female,2021
5,AVA,414,Female,2021
6,MIA,375,Female,2021
7,GRACE,367,Female,2021
8,CHLOE,335,Female,2021
9,MATILDA,326,Female,2021
10,ELLA,322,Female,2021
11,SIENNA,305,Female,2021
12,SOPHIA,299,Female,2021
13,ISABELLA,290,Female,2021
14,WILLOW,275,Female,2021
15,LILY,266,Female,2021
16,ZOE,264,Female,2021
17,EVIE,258,Female,2021
18,HARPER,256,Female,2021
19,AUDREY,251,Female,2021
20,SOPHIE,246,Female,2021
21,EVELYN,245,Female,2021
22,MILA,242,Female,2021
23,SOFIA,231,Female,2021
24,IVY,231,Female,2021
25,RUBY,221,Female,2021
26,ARIA,219,Female,2021
27,HAZEL,210,Female,2021
28,MAYA,197,Female,2021
29,ZARA,193,Female,2021
30,LUCY,192,Female,2021
31,FLORENCE,188,Female,2021
32,GEORGIA,188,Female,2021
33,LUNA,184,Female,2021
34,VIOLET,183,Female,2021
35,EMILY,182,Female,2021
36,DAISY,182,Female,2021
37,AURORA,182,Female,2021
38,LAYLA,181,Female,2021
39,HANNAH,179,Female,2021
40,SCARLETT,178,Female,2021
41,FRANKIE,176,Female,2021
42,ELLIE,167,Female,2021
43,PENELOPE,165,Female,2021
44,ISABELLE,165,Female,2021
45,EMILIA,163,Female,2021
46,AYLA,163,Female,2021
47,POPPY,160,Female,2021
48,ELEANOR,155,Female,2021
49,ABIGAIL,151,Female,2021
50,EMMA,147,Female,2021
51,EVA,142,Female,2021
52,ELSIE,141,Female,2021
53,BILLIE,136,Female,2021
54,MACKENZIE,134,Female,2021
55,FREYA,134,Female,2021
56,LOLA,133,Female,2021
57,BONNIE,130,Female,2021
58,ALICE,128,Female,2021
59,STELLA,126,Female,2021
60,REMI,126,Female,2021
61,OLIVE,124,Female,2021
62,MILLIE,123,Female,2021
63,ELOISE,123,Female,2021
64,HARRIET,119,Female,2021
65,ELENA,119,Female,2021
66,PIPER,113,Female,2021
67,LARA,104,Female,2021
68,ELIANA,104,Female,2021
69,ADDISON,103,Female,2021
70,SAVANNAH,102,Female,2021
71,BELLA,100,Female,2021
72,PHOEBE,99,Female,2021
73,ARIANA,99,Female,2021
74,SUMMER,98,Female,2021
75,AALIYAH,97,Female,2021
76,SADIE,96,Female,2021
77,ROSE,94,Female,2021
78,MAEVE,92,Female,2021
79,CLAIRE,89,Female,2021
80,IMOGEN,88,Female,2021
81,ZOEY,87,Female,2021
82,LEAH,87,Female,2021
83,JASMINE,87,Female,2021
84,ELIZABETH,87,Female,2021
85,ANNA,87,Female,2021
86,EDEN,86,Female,2021
87,RILEY,84,Female,2021
88,PIPPA,84,Female,2021
