Rank,Name,Count,Sex,Year
1,OLIVIA,2411,Female,2021
2,EMMA,2182,Female,2021
3,CAMILA,2076,Female,2021
4,MIA,2039,Female,2021
5,SOPHIA,1821,Female,2021
6,ISABELLA,1662,Female,2021
7,LUNA,1466,Female,2021
8,AMELIA,1375,Female,2021
9,SOFIA,1316,Female,2021
10,GIANNA,1292,Female,2021
11,AVA,1269,Female,2021
12,CHARLOTTE,1145,Female,2021
13,EMILY,1098,Female,2021
14,MILA,1072,Female,2021
15,ARIA,1002,Female,2021
16,EVELYN,971,Female,2021
17,NATALIA,952,Female,2021
18,VICTORIA,942,Female,2021
19,ABIGAIL,926,Female,2021
20,PENELOPE,911,Female,2021
21,SCARLETT,833,Female,2021
22,CHLOE,784,Female,2021
23,LAYLA,780,Female,2021
24,MAYA,776,Female,2021
25,ZOE,770,Female,2021
1,OLIVIA,2352,Female,2020
2,CAMILA,2192,Female,2020
3,EMMA,2117,Female,2020
4,MIA,2047,Female,2020
5,SOPHIA,2001,Female,2020
6,ISABELLA,1874,Female,2020
7,GIANNA,1532,Female,2020
8,LUNA,1468,Female,2020
9,SOFIA,1282,Female,2020
10,AMELIA,1255,Female,2020
11,EMILY,1249,Female,2020
12,AVA,1230,Female,2020
13,CHARLOTTE,1182,Female,2020
14,ABIGAIL,1067,Female,2020
15,VICTORIA,1041,Female,2020
16,EVELYN,1017,Female,2020
17,MILA,1008,Female,2020
18,PENELOPE,969,Female,2020
19,ARIA,935,Female,2020
20,NATALIA,854,Female,2020
21,CHLOE,814,Female,2020
22,SCARLETT,813,Female,2020
23,ELLA,810,Female,2020
24,ZOE,783,Female,2020
25,LAYLA,745,Female,2020
1,OLIVIA,2613,Female,2019
2,EMMA,2403,Female,2019
3,MIA,2364,Female,2019
4,SOPHIA,2097,Female,2019
5,CAMILA,2073,Female,2019
6,ISABELLA,2018,Female,2019
7,LUNA,1509,Female,2019
8,EMILY,1473,Female,2019
9,AVA,1420,Female,2019
10,SOFIA,1408,Female,2019
11,VICTORIA,1326,Female,2019
12,ABIGAIL,1298,Female,2019
13,AMELIA,1278,Female,2019
14,CHARLOTTE,1225,Female,2019
15,MILA,1219,Female,2019
16,EVELYN,1167,Female,2019
17,PENELOPE,1109,Female,2019
18,ARIA,1043,Female,2019
19,SCARLETT,957,Female,2019
20,ELLA,899,Female,2019
21,ELIZABETH,879,Female,2019
22,CHLOE,876,Female,2019
23,AVERY,830,Female,2019
24,ZOE,829,Female,2019
25,VALENTINA,782,Female,2019
1,EMMA,2746,Female,2018
2,MIA,2495,Female,2018
3,OLIVIA,2465,Female,2018
4,ISABELLA,2204,Female,2018
5,SOPHIA,2158,Female,2018
6,CAMILA,2086,Female,2018
7,SOFIA,1508,Female,2018
8,EMILY,1505,Female,2018
9,VICTORIA,1463,Female,2018
10,LUNA,1444,Female,2018
11,AVA,1391,Female,2018
12,ABIGAIL,1376,Female,2018
13,CHARLOTTE,1337,Female,2018
14,MILA,1294,Female,2018
15,AMELIA,1207,Female,2018
16,EVELYN,1157,Female,2018
17,ARIA,1080,Female,2018
18,PENELOPE,1075,Female,2018
19,SCARLETT,954,Female,2018
20,CHLOE,924,Female,2018
21,ELLA,896,Female,2018
22,ELIZABETH,895,Female,2018
23,AVERY,849,Female,2018
24,ZOE,839,Female,2018
25,GENESIS,810,Female,2018
1,EMMA,2734,Female,2017
2,MIA,2581,Female,2017
3,OLIVIA,2479,Female,2017
4,SOPHIA,2436,Female,2017
5,ISABELLA,2342,Female,2017
6,EMILY,1805,Female,2017
7,CAMILA,1782,Female,2017
8,SOFIA,1677,Female,2017
9,ABIGAIL,1544,Female,2017
10,AVA,1524,Female,2017
11,VICTORIA,1487,Female,2017
12,CHARLOTTE,1387,Female,2017
13,EVELYN,1171,Female,2017
14,LUNA,1150,Female,2017
15,SCARLETT,1104,Female,2017
16,PENELOPE,1086,Female,2017
17,AMELIA,1072,Female,2017
18,ARIA,1064,Female,2017
19,MILA,1052,Female,2017
20,ELIZABETH,967,Female,2017
21,CHLOE,949,Female,2017
22,ZOE,886,Female,2017
23,GRACE,882,Female,2017
24,SAMANTHA,871,Female,2017
25,GENESIS,853,Female,2017
1,MIA,2792,Female,2016
2,SOPHIA,2749,Female,2016
3,EMMA,2599,Female,2016
4,OLIVIA,2537,Female,2016
5,ISABELLA,2346,Female,2016
6,EMILY,1948,Female,2016
7,SOFIA,1897,Female,2016
8,CAMILA,1645,Female,2016
9,AVA,1609,Female,2016
10,ABIGAIL,1586,Female,2016
11,VICTORIA,1552,Female,2016
12,CHARLOTTE,1378,Female,2016
13,EVELYN,1185,Female,2016
14,SCARLETT,1114,Female,2016
15,PENELOPE,1059,Female,2016
16,AMELIA,1055,Female,2016
17,ALEXA,1025,Female,2016
18,ELIZABETH,1020,Female,2016
19,SAMANTHA,1009,Female,2016
20,ARIA,1004,Female,2016
21,CHLOE,978,Female,2016
22,AVERY,961,Female,2016
23,MADISON,916,Female,2016
24,ZOE,909,Female,2016
25,GENESIS,898,Female,2016
1,SOPHIA,2944,Female,2015
2,MIA,2856,Female,2015
3,EMMA,2707,Female,2015
4,OLIVIA,2515,Female,2015
5,ISABELLA,2392,Female,2015
6,EMILY,2142,Female,2015
7,SOFIA,2014,Female,2015
8,ABIGAIL,1764,Female,2015
9,VICTORIA,1570,Female,2015
10,AVA,1535,Female,2015
11,ALEXA,1435,Female,2015
12,CAMILA,1408,Female,2015
13,CHARLOTTE,1338,Female,2015
14,SAMANTHA,1110,Female,2015
15,EVELYN,1063,Female,2015
16,SCARLETT,1054,Female,2015
17,MADISON,1032,Female,2015
18,ELIZABETH,992,Female,2015
19,PENELOPE,989,Female,2015
20,ZOE,957,Female,2015
21,CHLOE,950,Female,2015
22,NATALIE,938,Female,2015
23,AVERY,923,Female,2015
24,ALLISON,902,Female,2015
