Rank,Name,Count,Gender,Year
1,OLIVER,695,Male,2021
2,NOAH,633,Male,2021
3,JACK,459,Male,2021
4,WILLIAM,458,Male,2021
5,HENRY,444,Male,2021
6,LEO,424,Male,2021
7,LUCAS,410,Male,2021
8,THEODORE,378,Male,2021
9,LEVI,339,Male,2021
10,LIAM,336,Male,2021
11,ELIJAH,331,Male,2021
12,THOMAS,330,Male,2021
13,CHARLIE,327,Male,2021
14,ARCHIE,327,Male,2021
15,HUDSON,324,Male,2021
16,LUCA,317,Male,2021
17,ALEXANDER,314,Male,2021
18,JAMES,310,Male,2021
19,ETHAN,285,Male,2021
20,LACHLAN,274,Male,2021
21,OSCAR,272,Male,2021
22,HARRISON,270,Male,2021
23,ISAAC,268,Male,2021
24,COOPER,259,Male,2021
25,MAX,253,Male,2021
26,GEORGE,245,Male,2021
27,ARTHUR,241,Male,2021
28,SEBASTIAN,240,Male,2021
29,KAI,238,Male,2021
30,HUNTER,236,Male,2021
31,HARVEY,234,Male,2021
32,BENJAMIN,234,Male,2021
33,HARRY,232,Male,2021
34,ARLO,231,Male,2021
35,HUGO,230,Male,2021
36,MASON,224,Male,2021
37,JACOB,224,Male,2021
38,ARCHER,214,Male,2021
39,SAMUEL,210,Male,2021
40,BEAU,199,Male,2021
41,XAVIER,195,Male,2021
42,JOSHUA,192,Male,2021
43,FINN,190,Male,2021
44,JOSEPH,188,Male,2021
45,RYAN,182,Male,2021
46,EDWARD,173,Male,2021
47,MUHAMMAD,172,Male,2021
48,LOUIS,169,Male,2021
49,AUSTIN,167,Male,2021
50,LOGAN,165,Male,2021
51,DANIEL,164,Male,2021
52,ADAM,163,Male,2021
53,MICHAEL,162,Male,2021
54,SONNY,161,Male,2021
55,JACKSON,160,Male,2021
56,JASPER,157,Male,2021
57,GABRIEL,157,Male,2021
58,JORDAN,153,Male,2021
59,PATRICK,152,Male,2021
60,LEON,151,Male,2021
61,RILEY,149,Male,2021
62,AIDEN,148,Male,2021
63,CARTER,147,Male,2021
64,ELI,146,Male,2021
65,JAYDEN,144,Male,2021
66,LUKA,142,Male,2021
67,ALI,142,Male,2021
68,LINCOLN,141,Male,2021
69,THEO,134,Male,2021
70,RIVER,133,Male,2021
71,FLYNN,129,Male,2021
72,FELIX,128,Male,2021
73,CHRISTIAN,126,Male,2021
74,LEONARDO,125,Male,2021
75,BILLY,124,Male,2021
76,ZACHARY,122,Male,2021
77,ASHER,122,Male,2021
78,ELIAS,119,Male,2021
79,LENNOX,118,Male,2021
80,BODHI,118,Male,2021
81,NICHOLAS,117,Male,2021
82,ANGUS,115,Male,2021
83,JUDE,110,Male,2021
84,ROMAN,108,Male,2021
85,VINCENT,106,Male,2021
86,MATTHEW,106,Male,2021
87,EZRA,105,Male,2021
88,ARI,105,Male,2021
89,CHARLES,104,Male,2021
90,LUKE,103,Male,2021
91,SPENCER,102,Male,2021
92,ASHTON,102,Male,2021
93,ZAYN,100,Male,2021
94,KOA,100,Male,2021
95,OWEN,99,Male,2021
96,JAXON,99,Male,2021
97,MAXWELL,98,Male,2021
98,ISAIAH,97,Male,2021
99,ANTHONY,97,Male,2021
100,TYLER,96,Male,2021
1,OLIVER,637,Male,2020
2,NOAH,593,Male,2020
3,WILLIAM,478,Male,2020
4,LEO,420,Male,2020
5,LUCAS,409,Male,2020
6,LIAM,383,Male,2020
7,JACK,376,Male,2020
8,HENRY,374,Male,2020
9,ELIJAH,371,Male,2020
10,THOMAS,351,Male,2020
11,JAMES,344,Male,2020
11,ALEXANDER,344,Male,2020
13,CHARLIE,335,Male,2020
14,LEVI,317,Male,2020
15,THEODORE,313,Male,2020
16,HUDSON,307,Male,2020
17,JACOB,293,Male,2020
18,ARCHIE,290,Male,2020
19,ETHAN,287,Male,2020
20,HARRISON,286,Male,2020
21,MASON,270,Male,2020
22,HUNTER,264,Male,2020
23,ISAAC,259,Male,2020
24,OSCAR,245,Male,2020
25,COOPER,243,Male,2020
26,LACHLAN,239,Male,2020
27,LUCA,238,Male,2020
28,GEORGE,231,Male,2020
29,BENJAMIN,227,Male,2020
30,HARRY,223,Male,2020
31,HARVEY,222,Male,2020
32,SAMUEL,221,Male,2020
33,HUGO,212,Male,2020
34,MAX,211,Male,2020
35,ARCHER,209,Male,2020
36,SEBASTIAN,205,Male,2020
37,ARLO,194,Male,2020
38,LOGAN,193,Male,2020
39,MUHAMMAD,190,Male,2020
39,FINN,190,Male,2020
41,XAVIER,183,Male,2020
42,RYAN,182,Male,2020
42,EDWARD,182,Male,2020
44,ARTHUR,181,Male,2020
45,JAYDEN,180,Male,2020
46,JACKSON,176,Male,2020
47,JOSHUA,175,Male,2020
47,DANIEL,175,Male,2020
49,JOSEPH,173,Male,2020
50,ADAM,171,Male,2020
50,KAI,171,Male,2020
50,JORDAN,171,Male,2020
53,RILEY,165,Male,2020
54,ELI,164,Male,2020
55,LOUIS,163,Male,2020
56,AIDEN,161,Male,2020
57,JASPER,158,Male,2020
58,AUSTIN,154,Male,2020
59,GABRIEL,150,Male,2020
60,BEAU,149,Male,2020
61,MICHAEL,147,Male,2020
