Rank,Name,Count,Sex,Year
1,NOAH,2621,Male,2021
2,LIAM,2487,Male,2021
3,MATEO,2125,Male,2021
4,SEBASTIAN,2056,Male,2021
5,JULIAN,1733,Male,2021
6,BENJAMIN,1617,Male,2021
7,OLIVER,1534,Male,2021
8,ELIJAH,1515,Male,2021
9,ALEXANDER,1495,Male,2021
10,DANIEL,1440,Male,2021
11,ETHAN,1419,Male,2021
12,LUCAS,1382,Male,2021
13,EZEKIEL,1284,Male,2021
14,SANTIAGO,1264,Male,2021
15,AIDEN,1241,Male,2021
16,JACOB,1222,Male,2021
17,MATTHEW,1181,Male,2021
18,JAMES,1168,Male,2021
19,EZRA,1134,Male,2021
20,LEVI,1097,Male,2021
21,MICHAEL,1093,Male,2021
22,JAYDEN,1092,Male,2021
23,LEO,1084,Male,2021
24,DAVID,1074,Male,2021
25,ADRIAN,1067,Male,2021
1,NOAH,2640,Male,2020
2,LIAM,2429,Male,2020
3,MATEO,2078,Male,2020
4,SEBASTIAN,2000,Male,2020
5,JULIAN,1688,Male,2020
6,ETHAN,1657,Male,2020
7,BENJAMIN,1648,Male,2020
8,ELIJAH,1595,Male,2020
9,ALEXANDER,1591,Male,2020
10,OLIVER,1541,Male,2020
11,DANIEL,1490,Male,2020
12,LUCAS,1355,Male,2020
13,MATTHEW,1345,Male,2020
14,JACOB,1303,Male,2020
15,AIDEN,1273,Male,2020
16,SANTIAGO,1215,Male,2020
17,JAYDEN,1206,Male,2020
18,DAVID,1165,Male,2020
19,JAMES,1156,Male,2020
20,LOGAN,1153,Male,2020
21,EZEKIEL,1141,Male,2020
22,NATHAN,1099,Male,2020
23,ADRIAN,1093,Male,2020
24,DYLAN,1085,Male,2020
25,MICHAEL,1077,Male,2020
1,NOAH,2686,Male,2019
2,LIAM,2406,Male,2019
3,MATEO,2222,Male,2019
4,SEBASTIAN,2154,Male,2019
5,ETHAN,2101,Male,2019
6,JULIAN,1860,Male,2019
7,ALEXANDER,1838,Male,2019
8,BENJAMIN,1760,Male,2019
9,DANIEL,1747,Male,2019
10,LUCAS,1724,Male,2019
11,JACOB,1661,Male,2019
12,OLIVER,1613,Male,2019
13,MATTHEW,1566,Male,2019
14,ELIJAH,1513,Male,2019
15,JAYDEN,1413,Male,2019
16,AIDEN,1405,Male,2019
17,SANTIAGO,1359,Male,2019
18,JAMES,1354,Male,2019
19,ISAAC,1320,Male,2019
20,LOGAN,1277,Male,2019
21,DAVID,1256,Male,2019
22,MICHAEL,1238,Male,2019
23,MASON,1233,Male,2019
24,ANTHONY,1226,Male,2019
25,DYLAN,1203,Male,2019
1,NOAH,2578,Male,2018
2,LIAM,2415,Male,2018
3,SEBASTIAN,2217,Male,2018
4,MATEO,2104,Male,2018
5,ETHAN,2060,Male,2018
6,DANIEL,1998,Male,2018
7,JULIAN,1941,Male,2018
8,ALEXANDER,1908,Male,2018
9,BENJAMIN,1768,Male,2018
10,JACOB,1718,Male,2018
11,MATTHEW,1703,Male,2018
12,LUCAS,1556,Male,2018
13,JAYDEN,1548,Male,2018
14,OLIVER,1509,Male,2018
15,AIDEN,1479,Male,2018
16,JAMES,1461,Male,2018
17,LOGAN,1458,Male,2018
18,DAVID,1457,Male,2018
19,ELIJAH,1440,Male,2018
20,DYLAN,1371,Male,2018
21,MICHAEL,1354,Male,2018
22,NATHAN,1335,Male,2018
23,ISAAC,1328,Male,2018
24,WILLIAM,1303,Male,2018
25,MASON,1302,Male,2018
1,NOAH,2513,Male,2017
2,SEBASTIAN,2267,Male,2017
3,LIAM,2187,Male,2017
4,ETHAN,2147,Male,2017
5,MATTHEW,2132,Male,2017
6,DANIEL,2088,Male,2017
7,JACOB,2054,Male,2017
8,MATEO,2007,Male,2017
9,ALEXANDER,1998,Male,2017
10,JULIAN,1940,Male,2017
11,BENJAMIN,1850,Male,2017
12,LOGAN,1774,Male,2017
13,JAYDEN,1688,Male,2017
14,LUCAS,1633,Male,2017
15,AIDEN,1632,Male,2017
16,OLIVER,1561,Male,2017
17,DAVID,1553,Male,2017
18,AARON,1528,Male,2017
19,NATHAN,1518,Male,2017
20,DYLAN,1513,Male,2017
21,JAMES,1508,Male,2017
22,MICHAEL,1507,Male,2017
23,ELIJAH,1486,Male,2017
24,ANTHONY,1439,Male,2017
25,ISAAC,1423,Male,2017
1,NOAH,2687,Male,2016
2,MATTHEW,2410,Male,2016
3,ETHAN,2329,Male,2016
4,DANIEL,2292,Male,2016
5,SEBASTIAN,2265,Male,2016
6,JACOB,2260,Male,2016
7,ALEXANDER,2218,Male,2016
8,JULIAN,2040,Male,2016
9,LIAM,2028,Male,2016
10,BENJAMIN,1914,Male,2016
11,JAYDEN,1850,Male,2016
12,MATEO,1848,Male,2016
13,MICHAEL,1764,Male,2016
14,AIDEN,1748,Male,2016
15,DAVID,1712,Male,2016
16,NATHAN,1693,Male,2016
17,ANTHONY,1654,Male,2016
18,LUCAS,1635,Male,2016
19,JAMES,1628,Male,2016
20,ELIJAH,1568,Male,2016
21,ISAAC,1566,Male,2016
22,AARON,1556,Male,2016
23,OLIVER,1547,Male,2016
24,DYLAN,1531,Male,2016
25,MASON,1521,Male,2016
1,NOAH,2754,Male,2015
2,JACOB,2549,Male,2015
3,DANIEL,2468,Male,2015
4,ETHAN,2466,Male,2015
5,MATTHEW,2423,Male,2015
6,ALEXANDER,2304,Male,2015
7,JAYDEN,2134,Male,2015
8,SEBASTIAN,2073,Male,2015
9,LIAM,2023,Male,2015
10,DAVID,1932,Male,2015
11,JULIAN,1900,Male,2015
12,AIDEN,1896,Male,2015
13,MICHAEL,1857,Male,2015
14,NATHAN,1855,Male,2015
15,BENJAMIN,1819,Male,2015
16,ANTHONY,1766,Male,2015
17,ISAAC,1714,Male,2015
18,MASON,1694,Male,2015
19,DYLAN,1681,Male,2015
20,ANDREW,1607,Male,2015
21,JAMES,1537,Male,2015
22,ANGEL,1534,Male,2015
23,JOSEPH,1518,Male,2015
24,ADRIAN,1517,Male,2015
25,ELIJAH,1509,Male,2015
1,NOAH,2766,Male,2014
2,JACOB,2694,Male,2014
3,ETHAN,2561,Male,2014
4,DANIEL,2550,Male,2014
5,ALEXANDER,2485,Male,2014
6,MATTHEW,2468,Male,2014
7,JAYDEN,2366,Male,2014
8,ANTHONY,2074,Male,2014
9,SEBASTIAN,2029,Male,2014
10,DAVID,2004,Male,2014
11,MICHAEL,1989,Male,2014
12,JULIAN,1906,Male,2014
13,ANDREW,1904,Male,2014
14,BENJAMIN,1873,Male,2014
15,AIDEN,1867,Male,2014
16,NATHAN,1865,Male,2014
17,LIAM,1861,Male,2014
18,MASON,1819,Male,2014
19,ISAAC,1795,Male,2014
20,ANGEL,1650,Male,2014
21,AARON,1649,Male,2014
22,DYLAN,1647,Male,2014
23,JAMES,1583,Male,2014
